09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3119) S_DA_OTP_READ_FAIL                                 (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3120) S_DA_OTP_PROGRAM_FAIL                              (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3121) S_DA_OTP_LOCK_FAIL                                 (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3122) S_DA_OTP_LOCK_CHECK_STATUS_FAIL                    (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3123) S_DA_OTP_UNLOCKED                                  (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3124) S_DA_SEC_RO_ILLEGAL_MAGIC_TAIL                     (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3125) S_DA_HANDSET_FOTA_INFO_NOT_FOUND                   (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3126) S_DA_HANDSET_UA_INFO_NOT_FOUND                     (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3127) S_DA_SB_FSM_INVALID_INFO                           (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3128) S_DA_NFB_TARGET_DUAL_BL_PAIRED_VERSION_NOT_MATCHED_WITH_MAUI (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3129) S_DA_NFB_TARGET_DUAL_BL_FEATURE_COMBINATION_NOT_MATCHED_WITH_MAUI (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3130) S_DA_NFB_TARGET_IS_SINGLE_BL_BUT_PC_NOT            (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3131) S_DA_NFB_TARGET_IS_DUAL_BL_BUT_PC_NOT              (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3132) S_DA_NOR_TARGET_BL_PAIRED_VERSION_NOT_MATCHED_WITH_MAUI (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3133) S_DA_NOR_TARGET_BL_FEATURE_COMBINATION_NOT_MATCHED_WITH_MAUI (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3134) S_DA_NOR_TARGET_IS_NOT_NEW_BL_BUT_PC_IS            (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3135) S_DA_NOR_TARGET_IS_NEW_BL_BUT_PC_NOT               (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3136) S_DA_DOWNLOAD_BOOTLOADER_FLASH_DEV_IS_NONE         (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3137) S_DA_DOWNLOAD_BOOTLOADER_FLASH_DEV_IS_NOT_SUPPORTED (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3138) S_DA_DOWNLOAD_BOOTLOADER_BEGIN_ADDR_OVERLAPS_WITH_PREVIOUS_BOUNDARY (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3139) S_DA_UPDATE_BOOTLOADER_EXIST_MAGIC_NOT_MATCHED     (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3140) S_DA_UPDATE_BOOTLOADER_FILE_TYPE_NOT_MATCHED       (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3141) S_DA_UPDATE_BOOTLOADER_FILE_SIZE_EXCEEDS_BOUNDARY_ADDR (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3142) S_DA_UPDATE_BOOTLOADER_BEGIN_ADDR_NOT_MATCHED      (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4000) S_FT_CALLBACK_DA_REPORT_FAIL                       (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4001) S_FT_DA_NO_RESPONSE                                (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4002) S_FT_DA_SYNC_INCORRECT                             (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4003) S_FT_DA_VERSION_INCORRECT                          (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4004) S_FT_DA_INIT_SYNC_ERROR                            (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4005) S_FT_GET_DSP_VER_FAIL                              (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4006) S_FT_CHANGE_BAUDRATE_FAIL                          (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4007) S_FT_SET_DOWNLOAD_BLOCK_FAIL                       (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4008) S_FT_DOWNLOAD_FAIL                                 (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4009) S_FT_READBACK_FAIL                                 (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4010) S_FT_FORMAT_FAIL                                   (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4011) S_FT_FINISH_CMD_FAIL                               (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4012) S_FT_ENABLE_WATCHDOG_FAIL                          (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4013) S_FT_NFB_DOWNLOAD_BOOTLOADER_FAIL                  (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4014) S_FT_NFB_DOWNLOAD_CODE_FAIL                        (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4015) S_FT_NFB_INVALID_BOOTLOADER_DRAM_SETTING           (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4016) S_FT_NAND_READADDR_NOT_PAGE_ALIGNMENT              (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4017) S_FT_NAND_READLEN_NOT_PAGE_ALIGNMENT               (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4018) S_FT_READ_REG16_FAIL                               (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4019) S_FT_WRITE_REG16_FAIL                              (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4020) S_FT_CUST_PARA_GET_INFO_FAIL                       (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4021) S_FT_CUST_PARA_READ_FAIL                           (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4022) S_FT_CUST_PARA_WRITE_FAIL                          (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4023) S_FT_INVALID_FTCFG_OPERATION                       (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4024) S_FT_INVALID_CUST_PARA_OPERATION                   (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4025) S_FT_INVALID_SEC_RO_OPERATION                      (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4026) S_FT_INVALID_OTP_OPERATION                         (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4027) S_FT_POST_PROCESS_FAIL                             (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4028) S_FT_FTCFG_UPDATE_FAIL                             (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4029) S_FT_SEC_RO_GET_INFO_FAIL                          (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4030) S_FT_SEC_RO_READ_FAIL                              (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4031) S_FT_SEC_RO_WRITE_FAIL                             (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4032) S_FT_ENABLE_DRAM_FAIL                              (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4033) S_FT_FS_FINDFIRSTEX_FAIL                           (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4034) S_FT_FS_FINDNEXTEX_FAIL                            (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4035) S_FT_FS_FOPEN_FAIL                                 (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4036) S_FT_FS_GETFILESIZE_FAIL                           (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4037) S_FT_FS_READ_FAIL                                  (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4038) S_FT_FS_FILENAME_INVALID                           (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4039) S_FT_FS_FILENAME_TOO_LONG                          (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4040) S_FT_FS_ASSERT                                     (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4041) S_FT_OTP_ADDR_NOT_WORD_ALIGNMENT                   (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4042) S_FT_OTP_LENGTH_NOT_WORD_ALIGNMENT                 (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4043) S_FT_OTP_INVALID_ADDRESS_RANGE                     (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4044) S_FT_NAND_READ_TO_BUFFER_NOT_SUPPORT               (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4045) S_FT_GET_PROJECT_ID_FAIL                           (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4046) S_FT_ENFB_ROM_FILE_SMALL_THAN_HEADER_DESCRIBE      (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4047) S_FT_RW_EXTRACT_NFB_FAIL                           (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4048) S_FT_MEMORY_TEST_FAIL                              (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (4049) S_FT_CHECK_BOOTLOADER_FEATURE_FAIL                 (brom.cpp:708)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5000) S_AUTH_HANDLE_IS_NOT_READY                         (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5001) S_INVALID_AUTH_FILE                                (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5002) S_INVALID_DA_FILE                                  (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5003) S_DA_HANDLE_IS_NOT_READY                           (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5004) S_FTHND_ILLEGAL_INDEX                              (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5005) S_FTHND_HANDLE_BUSY_NOW                            (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5006) S_FTHND_FILE_IS_UPDATED                            (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5007) S_FTHND_FILE_IS_NOT_LOADED_YET                     (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5008) S_FTHND_FILE_LOAD_FAIL                             (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5009) S_FTHND_FILE_UNLOAD_FAIL                           (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5010) S_FTHND_LIST_IS_EMPTY                              (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5011) S_DL_SCAT_INCORRECT_FORMAT                         (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5012) S_DL_SCAT_ADDR_IS_NOT_WORD_ALIGN                   (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5013) S_DL_SCAT_OFFSET_IS_NOT_WORD_ALIGN                 (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5014) S_DL_SCAT_ADDR_IS_NOT_ASCENDING_ORDER              (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5015) S_DL_SCAT_JUMPTABLE_IS_NOT_ABSOLUTE_ADDR           (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5016) S_DL_LOAD_REGION_IS_OVERLAP                        (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5017) S_DL_LOAD_REGION_NOT_FOUND                         (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5018) S_DL_NOT_RESOURCE_BIN                              (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5019) S_DL_MULTIBIN_MECHANISM_DISABLED                   (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5020) S_DL_RESOURCE_NOT_MATCH_IN_JUMPTABLE               (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5021) S_DL_RESOURCE_MUST_DOWNLOAD_WITH_JUMPTABLE         (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5022) S_DL_OVERLAP_WITH_EXISTING_RESOURCE                (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5023) S_DL_INVALID_RESOURCE_BIN                          (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5024) S_DL_JUMPTABLE_INCONSISTENT_WITH_SCAT              (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5025) S_DL_INVALID_JUMPTABLE                             (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5026) S_DL_REGION_ADDR_INCONSISTENT_WITH_SCAT            (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5027) S_DL_REGION_ADDR_INCONSISTENT_WITH_RESOURCE_ADDR   (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5028) S_DL_INVALID_BOOTLOADER                            (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5029) S_DL_INVALID_BOOTLOADER_CHKSUM_SEED                (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5030) S_DL_BOOTLOADER_IS_NOT_LOADED_YET                  (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5031) S_DL_BOOTLOADER_NOT_FOUND                          (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5032) S_DL_REMOTE_FILE_UNSUPPORTED_BY_BL_AUTOLOAD        (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5033) S_DLIST_SAME_BBCHIP_SW_VER                         (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5034) S_DLIST_BBCHIP_HW_VER_NOT_MATCHED                  (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5035) S_DLIST_NO_MATCHED_DL_HANDLE_FOUND                 (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5036) S_DLIST_DL_HANDLE_NOT_IN_LIST                      (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5037) S_DLIST_DL_HANDLE_ALREADY_IN_LIST                  (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5038) S_FTHND_CALLBACK_REMOTE_GET_FILE_LEN_FAIL          (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5039) S_FTHND_CALLBACK_REMOTE_READ_FILE_FAIL             (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5040) S_FTHND_CALLBACK_FILE_INTEGRITY_CHECK_FAIL         (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5041) S_UNSUPPORTED_VER_OF_AUTH_FILE                     (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5042) S_DL_PROJECT_ID_DIFF_BETWEEN_MAIN_CODE_AND_JUMP_TBL (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5043) S_DL_SCAT_OPEN_FAIL                                (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5044) S_FTHND_CALLBACK_COM_INIT_STAGE_FAIL               (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5045) S_DL_UNSECURE_MAUI_TO_SECURE_BB                    (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5046) S_FTHND_CALLBACK_REMOTE_GET_SIG_LEN_FAIL           (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5047) S_FTHND_CALLBACK_REMOTE_READ_SIG_FAIL              (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5048) S_DL_RESOURCE_MUST_DOWNLOAD_WITH_ANOTHERBIN        (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5049) S_DL_RESOURCE_MUST_DOWNLOAD_WITH_ENFB              (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5050) S_DL_PROJECT_ID_DIFF_BETWEEN_MAIN_CODE_AND_RESOURCE_BIN (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5051) S_DL_PROJECT_ID_DIFF_AMONG_RESOURCE_BIN            (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5052) S_DL_UNSECURE_BOOTLOADER_TO_SECURE_BB              (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5053) S_DL_GET_DRAM_SETTING_FAIL                         (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5054) S_DL_FOTA_INFO_IMAGE_NUMBER_NOT_MATCH_WITH_SCATTER_FILE (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5055) S_DL_PROJECT_ID_DIFF_BETWEEN_THIRD_ROM_AND_RESOURCE_BIN (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5056) S_DL_FOTA_SEC_INFO_MAC_ADDR_NOT_MATCH_WITH_MAUI    (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5057) S_DL_PC_NFB_DUAL_BL_PAIRED_VERSION_NOT_MATCHED_WITH_MAUI (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5058) S_DL_PC_NFB_DUAL_BL_FEATURE_COMBINATION_NOT_MATCHED_WITH_MAUI (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5059) S_DL_PC_NOR_XIP_BL_PAIRED_VERSION_NOT_MATCHED_WITH_MAUI (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5060) S_DL_PC_NOR_XIP_BL_FEATURE_COMBINATION_NOT_MATCHED_WITH_MAUI (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5061) S_INVALID_SCERT_FILE                               (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5062) S_UNSUPPORTED_VER_OF_SCERT_FILE                    (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5063) S_DL_PC_BL_FILE_TYPE_IS_DUPLICATED                 (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5064) S_DL_PC_BL_FILE_DEV_IS_DIFFERENT                   (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5065) S_DL_PC_BL_INVALID_GFH_FILE_INFO                   (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5066) S_DL_PC_BL_INVALID_GFH_BL_INFO                     (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (5067) S_DL_PC_BL_INVALID_GFH_ANTI_CLONE                  (brom.cpp:711)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (6000) S_SECURITY_CALLBACK_SLA_CHALLENGE_FAIL             (brom.cpp:714)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (6001) S_SECURITY_SLA_WRONG_AUTH_FILE                     (brom.cpp:714)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (6002) S_SECURITY_SLA_INVALID_AUTH_FILE                   (brom.cpp:714)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (6003) S_SECURITY_SLA_CHALLENGE_FAIL                      (brom.cpp:714)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (6004) S_SECURITY_SLA_FAIL                                (brom.cpp:714)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (6005) S_SECURITY_DAA_FAIL                                (brom.cpp:714)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (6006) S_SECURITY_SBC_FAIL                                (brom.cpp:714)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (6007) S_SECURITY_SF_SECURE_VER_CHECK_FAIL                (brom.cpp:714)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (6008) S_SECURITY_SF_HANDSET_SECURE_CUSTOM_NAME_NOT_MATCH (brom.cpp:714)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (6009) S_SECURITY_SF_FTCFG_LOCKDOWN                       (brom.cpp:714)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (6010) S_SECURITY_SF_CODE_DOWNLOAD_FORBIDDEN              (brom.cpp:714)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (6011) S_SECURITY_SF_CODE_READBACK_FORBIDDEN              (brom.cpp:714)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (6012) S_SECURITY_SF_CODE_FORMAT_FORBIDDEN                (brom.cpp:714)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (6013) S_SECURITY_SF_SEC_RO_DOWNLOAD_FORBIDDEN            (brom.cpp:714)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (6014) S_SECURITY_SF_SEC_RO_READBACK_FORBIDDEN            (brom.cpp:714)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (6015) S_SECURITY_SF_SEC_RO_FORMAT_FORBIDDEN              (brom.cpp:714)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (6016) S_SECURITY_SF_FAT_DOWNLOAD_FORBIDDEN               (brom.cpp:714)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (6017) S_SECURITY_SF_FAT_READBACK_FORBIDDEN               (brom.cpp:714)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (6018) S_SECURITY_SF_FAT_FORMAT_FORBIDDEN                 (brom.cpp:714)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (6019) S_SECURITY_SF_RESTRICTED_AREA_ACCESS_FORBIDDEN     (brom.cpp:714)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (6020) S_SECURITY_SECURE_CUSTOM_NAME_NOT_MATCH_BETWEEN_AUTH_AND_DL_HANDLE (brom.cpp:714)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (6021) S_SECURITY_DOWNLOAD_FILE_IS_CORRUPTED              (brom.cpp:714)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (6022) S_SECURITY_NOT_SUPPORT                             (brom.cpp:714)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (6023) S_SECURITY_BOOTLOADER_IMAGE_SIGNATURE_FAIL         (brom.cpp:714)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (6024) S_SECURITY_BOOTLOADER_ELDER_SW_VERSION_CANNOT_BE_DOWNLOADED (brom.cpp:714)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (6025) S_SECURITY_BOOTLOADER_IMAGE_NO_SIGNATURE           (brom.cpp:714)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (6026) S_SECURITY_BOOTLOADER_CORRUPTED_SCATTER_FILE       (brom.cpp:714)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (6027) S_SECURITY_SECURE_USB_DL_NO_MAUI_IN_SCATTER_FILE   (brom.cpp:714)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (6028) S_SECURITY_SEND_CERT_FAIL                          (brom.cpp:714)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (6029) S_SECURITY_SEND_AUTH_FAIL                          (brom.cpp:714)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (6030) S_SECURITY_GET_SEC_CONFIG_FAIL                     (brom.cpp:714)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (6031) S_SECURITY_GET_ME_ID_FAIL                          (brom.cpp:714)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: ================== STATUS_E CODE END ==================== (brom.cpp:716)
